Date,Open,High,Low,Close,Adj Close,Volume
2015-03-03,2.490000,2.500000,2.380000,2.410000,2.410000,11666803
2015-03-04,2.420000,2.430000,2.260000,2.300000,2.300000,23785980
2015-03-05,2.340000,2.410000,2.300000,2.350000,2.350000,11907662
2015-03-06,2.380000,2.420000,2.280000,2.330000,2.330000,11643314
2015-03-09,2.370000,2.410000,2.310000,2.390000,2.390000,7835031
2015-03-10,2.360000,2.380000,2.320000,2.340000,2.340000,3269392
2015-03-11,2.370000,2.540000,2.300000,2.490000,2.490000,10993701
2015-03-12,2.500000,2.520000,2.400000,2.450000,2.450000,4659554
2015-03-13,2.450000,2.510000,2.350000,2.490000,2.490000,9945000
2015-03-16,2.480000,2.520000,2.430000,2.490000,2.490000,4640213
2015-03-17,2.550000,2.600000,2.480000,2.480000,2.480000,7333091
2015-03-18,2.500000,2.520000,2.450000,2.450000,2.450000,3492876
2015-03-19,2.490000,2.530000,2.460000,2.510000,2.510000,7073141
2015-03-20,2.500000,2.520000,2.490000,2.520000,2.520000,10004343
2015-03-23,2.510000,2.510000,2.480000,2.500000,2.500000,3593304
2015-03-24,2.490000,2.500000,2.450000,2.480000,2.480000,2924498
2015-03-25,2.530000,2.630000,2.500000,2.540000,2.540000,23359482
2015-03-26,2.570000,2.570000,2.510000,2.510000,2.510000,5764624
2015-03-27,2.530000,2.540000,2.470000,2.500000,2.500000,4263077
2015-03-30,2.490000,2.500000,2.400000,2.400000,2.400000,4777036
2015-03-31,2.430000,2.500000,2.400000,2.500000,2.500000,7513840
2015-04-01,2.500000,2.530000,2.470000,2.500000,2.500000,2617706
2015-04-02,2.500000,2.530000,2.490000,2.520000,2.520000,2887832
2015-04-06,2.520000,2.580000,2.510000,2.560000,2.560000,3863630
2015-04-07,2.570000,2.650000,2.560000,2.650000,2.650000,45888771
2015-04-08,2.650000,2.680000,2.590000,2.600000,2.600000,5319006
2015-04-09,2.550000,2.620000,2.530000,2.600000,2.600000,15569167
2015-04-10,2.700000,2.790000,2.640000,2.640000,2.640000,16455335
2015-04-13,2.680000,2.680000,2.590000,2.600000,2.600000,4408674
2015-04-14,2.620000,2.630000,2.580000,2.600000,2.600000,6311436
2015-04-15,2.580000,2.700000,2.580000,2.680000,2.680000,11308985
2015-04-16,2.710000,2.790000,2.690000,2.710000,2.710000,15235402
2015-04-17,2.700000,2.710000,2.640000,2.670000,2.670000,2936752
2015-04-20,2.700000,2.700000,2.640000,2.660000,2.660000,2213495
2015-04-21,2.660000,2.670000,2.630000,2.660000,2.660000,2229056
2015-04-22,2.650000,2.660000,2.520000,2.540000,2.540000,10099478
2015-04-23,2.540000,2.600000,2.510000,2.570000,2.570000,3300031
2015-04-24,2.600000,2.600000,2.530000,2.540000,2.540000,2220881
2015-04-27,2.580000,2.580000,2.400000,2.420000,2.420000,11957566
2015-04-28,2.450000,2.470000,2.410000,2.420000,2.420000,6040931
2015-04-29,2.450000,2.490000,2.440000,2.470000,2.470000,4178495
2015-04-30,2.490000,2.490000,2.410000,2.440000,2.440000,7466086
2015-05-01,2.440000,2.450000,2.420000,2.430000,2.430000,2212603
2015-05-04,2.460000,2.460000,2.410000,2.410000,2.410000,2870714
2015-05-05,2.440000,2.440000,2.410000,2.410000,2.410000,2313468
2015-05-06,2.430000,2.430000,2.370000,2.380000,2.380000,4793042
2015-05-07,2.450000,2.550000,2.420000,2.540000,2.540000,14470917
2015-05-08,2.570000,2.630000,2.540000,2.630000,2.630000,7527596
2015-05-11,2.630000,2.650000,2.590000,2.600000,2.600000,5340353
2015-05-12,2.570000,2.620000,2.560000,2.560000,2.560000,3194241
2015-05-13,2.570000,2.570000,2.520000,2.550000,2.550000,4993558
2015-05-14,2.500000,2.680000,2.490000,2.680000,2.680000,8033555
2015-05-15,2.660000,2.700000,2.650000,2.680000,2.680000,4332663
2015-05-19,2.670000,2.670000,2.570000,2.620000,2.620000,3704370
2015-05-20,2.630000,2.630000,2.560000,2.570000,2.570000,5338643
2015-05-21,2.550000,2.560000,2.530000,2.540000,2.540000,6544342
2015-05-22,2.530000,2.540000,2.430000,2.470000,2.470000,6770550
2015-05-25,2.490000,2.500000,2.470000,2.480000,2.480000,1303204
2015-05-26,2.480000,2.490000,2.440000,2.460000,2.460000,3688288
2015-05-27,2.470000,2.520000,2.470000,2.520000,2.520000,3247067
2015-05-28,2.520000,2.570000,2.500000,2.560000,2.560000,4648708
2015-05-29,2.570000,2.600000,2.540000,2.580000,2.580000,33523406
2015-06-01,2.570000,2.590000,2.520000,2.570000,2.570000,4508952
2015-06-02,2.580000,2.610000,2.560000,2.600000,2.600000,3130991
2015-06-03,2.620000,2.620000,2.585000,2.600000,2.600000,3390296
2015-06-04,2.600000,2.615000,2.510000,2.520000,2.520000,8826998
2015-06-05,2.550000,2.570000,2.520000,2.530000,2.530000,5391245
2015-06-08,2.530000,2.550000,2.500000,2.510000,2.510000,2510787
2015-06-09,2.550000,2.550000,2.480000,2.500000,2.500000,4195287
2015-06-10,2.520000,2.530000,2.490000,2.530000,2.530000,4886660
2015-06-11,2.540000,2.560000,2.540000,2.550000,2.550000,7558466
2015-06-12,2.560000,2.570000,2.515000,2.540000,2.540000,2404855
2015-06-15,2.600000,2.625000,2.570000,2.620000,2.620000,8590219
2015-06-16,2.630000,2.630000,2.440000,2.450000,2.450000,5898543
2015-06-17,2.480000,2.500000,2.400000,2.400000,2.400000,6278075
2015-06-18,2.450000,2.505000,2.440000,2.470000,2.470000,5242362
2015-06-19,2.410000,2.490000,2.410000,2.440000,2.440000,17092562
2015-06-22,2.420000,2.510000,2.420000,2.500000,2.500000,3227011
2015-06-23,2.470000,2.490000,2.460000,2.470000,2.470000,1759056
2015-06-24,2.460000,2.500000,2.440000,2.460000,2.460000,1931868
2015-06-25,2.450000,2.485000,2.440000,2.470000,2.470000,2353725
2015-06-26,2.460000,2.465000,2.410000,2.410000,2.410000,3953159
2015-06-29,2.410000,2.430000,2.255000,2.350000,2.350000,11611637
2015-06-30,2.370000,2.385000,2.240000,2.250000,2.250000,8232395
